feature,importance
macd_hist_slope,0.07292846
macd_hist,0.0709294
ema_cross_50,0.061509173
ema_spread_velocity,0.06011929
macd_signal,0.051969312
ema_cross,0.048844155
macd,0.044856194
bb_width,0.03306089
atr_pct,0.031300128
price_vs_ema50,0.02845221
range_pct_20,0.025782324
roc_10,0.024170255
near_high50,0.023384957
roc_5,0.022352003
ret_lag5,0.021157987
ret_lag3,0.017654685
roc_3,0.015968803
ret_lag8,0.014913241
price_vs_ema9,0.014356418
roc_20,0.014205292
near_low20,0.014040882
dist_from_ema20,0.01277149
near_high20,0.011604294
hl_range,0.010095625
price_vs_ema21,0.009993653
hvol_20,0.0099617755
gap,0.008818304
nifty_atr_pct,0.007704771
mins_since_open,0.0074351006
vol_ratio,0.00706007
bb_position,0.0069888206
vwap_slope,0.0063268235
session_frac,0.0062879585
ret_lag2,0.0061270716
willr_14,0.005986069
is_trending,0.005957629
ret_lag13,0.005917411
price_vs_vwap,0.005772643
dist_from_vwap,0.0057478463
above_vwap,0.0056653554
hour,0.005557619
atr_ratio,0.005450183
day_of_week,0.00540801
stoch_cross,0.005300727
cci_20,0.0052154805
stoch_k,0.0051489896
is_friday,0.0050406205
kc_position,0.004825675
nifty_trend,0.0046493313
rsi_21,0.0045021083
distance_from_day_high,0.0044539417
is_monday,0.004358156
is_first_30min,0.004294757
candle_body_pct,0.0042593996
stoch_d,0.0039465404
bb_squeeze,0.003915963
nifty_above_ema20,0.003593404
vwm_10,0.0033283622
upper_wick,0.0033037772
rsi_14,0.003273995
rs_vs_nifty,0.0032590257
rsi_7,0.0030417694
nifty_rsi,0.003002201
body,0.0029001439
range_expansion,0.002650841
is_last_30min,0.0026479056
ret_lag1,0.002632795
vwm_5,0.0025853848
rsi_slope,0.0025461784
vol_acceleration,0.0024786144
trend_strength,0.0024109127
lower_wick,0.0024068486
autocorr_5,0.002327154
close_position_in_range,0.001980515
nifty_ret_5,0.0019567446
rs_acceleration,0.0019229639
shooting_star,0.00191535
minute,0.0017236003
nifty_roc5,0.001710729
nifty_ret_1,0.001506015
doji,0.0013939649
strong_bull_candle,0.0013742034
hammer,0.0010732469
vol_spike,0.0005471047
breakout_confirm,0.0
